"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 26 01:03:58 GMT 2022","Wed Oct 26 01:04:05 GMT 2022","6768","","Main page","","Main page","should show email on register page, after enter email on main page","should show email on register page, after enter email on main page",""
"passed","Wed Oct 26 01:03:25 GMT 2022","Wed Oct 26 01:03:38 GMT 2022","13416","","Contact Us page","","Contact Us page","Fill out the ""contact us"" form","Fill out the ""contact us"" form",""
"passed","Wed Oct 26 01:06:55 GMT 2022","Wed Oct 26 01:06:56 GMT 2022","1311","","Main page","","Main page","should contain correct href for social links ","should contain correct href for social links ",""
"passed","Wed Oct 26 01:04:12 GMT 2022","Wed Oct 26 01:04:15 GMT 2022","3484","","Main page","","Main page","should after click on ""Talk to an expert"", switch to page Contact","should after click on ""Talk to an expert"", switch to page Contact",""
"passed","Wed Oct 26 01:04:05 GMT 2022","Wed Oct 26 01:04:08 GMT 2022","3157","","Main page","","Main page","should has buttons on the page header","should has buttons on the page header",""
"passed","Wed Oct 26 01:03:18 GMT 2022","Wed Oct 26 01:03:24 GMT 2022","5885","","Contact Us page","","Contact Us page","Form ""contact us"" with empty credentials","Form ""contact us"" with empty credentials",""
"broken","Wed Oct 26 01:03:52 GMT 2022","Wed Oct 26 01:03:54 GMT 2022","1346","","Main page","","Main page","should after click on ""Sign up"", contain title Sign Up","should after click on ""Sign up"", contain title Sign Up",""
"broken","Wed Oct 26 01:04:55 GMT 2022","Wed Oct 26 01:05:55 GMT 2022","60008","","Main page","","Main page","should after move to Pricing, show right links","should after move to Pricing, show right links",""
"broken","Wed Oct 26 01:03:54 GMT 2022","Wed Oct 26 01:03:55 GMT 2022","1167","","Main page","","Main page","should after click on ""Talk to an expert"", switch to page Contact","should after click on ""Talk to an expert"", switch to page Contact",""
"passed","Wed Oct 26 01:03:24 GMT 2022","Wed Oct 26 01:03:42 GMT 2022","18474","","Contact Us page","","Contact Us page","Fill out the ""contact us"" form","Fill out the ""contact us"" form",""
"failed","Wed Oct 26 01:03:49 GMT 2022","Wed Oct 26 01:03:52 GMT 2022","3148","","Main page","","Main page","should has buttons on the page header","should has buttons on the page header",""
"passed","Wed Oct 26 01:03:18 GMT 2022","Wed Oct 26 01:03:25 GMT 2022","6477","","Contact Us page","","Contact Us page","Form ""contact us"" with empty credentials","Form ""contact us"" with empty credentials",""
"broken","Wed Oct 26 01:05:22 GMT 2022","Wed Oct 26 01:06:22 GMT 2022","60038","","Main page","","Main page","should contain correct href for social links ","should contain correct href for social links ",""
"passed","Wed Oct 26 01:04:19 GMT 2022","Wed Oct 26 01:04:22 GMT 2022","2943","","Main page","","Main page","should after move to Pricing, show right links","should after move to Pricing, show right links",""
"passed","Wed Oct 26 01:04:15 GMT 2022","Wed Oct 26 01:04:19 GMT 2022","3383","","Main page","","Main page","should after move to Products, show right links","should after move to Products, show right links",""
"passed","Wed Oct 26 01:03:45 GMT 2022","Wed Oct 26 01:03:49 GMT 2022","4078","","Main page","","Main page","should show email on register page, after enter email on main page","should show email on register page, after enter email on main page",""
"passed","Wed Oct 26 01:04:08 GMT 2022","Wed Oct 26 01:04:12 GMT 2022","3839","","Main page","","Main page","should after click on ""Sign up"", contain title Sign Up","should after click on ""Sign up"", contain title Sign Up",""
"broken","Wed Oct 26 01:05:55 GMT 2022","Wed Oct 26 01:06:55 GMT 2022","60004","","Main page","","Main page","should have the correct title of all product links","should have the correct title of all product links",""
"broken","Wed Oct 26 01:04:22 GMT 2022","Wed Oct 26 01:05:22 GMT 2022","60015","","Main page","","Main page","should have the correct title of all product links","should have the correct title of all product links",""
"broken","Wed Oct 26 01:03:55 GMT 2022","Wed Oct 26 01:04:55 GMT 2022","60005","","Main page","","Main page","should after move to Products, show right links","should after move to Products, show right links",""
